,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,runtime,M,N,K,GPU,program,rank
0,32,32,32,2,16,0,149.1630096435547,3303,6118,5037,V100,3303_6118_5037_V100,6
1,16,32,16,2,32,2,311.73529052734375,3303,6118,5037,V100,3303_6118_5037_V100,1
2,32,32,16,4,16,2,86.57612609863281,3303,6118,5037,V100,3303_6118_5037_V100,8
3,16,32,16,4,16,0,154.21644592285156,3303,6118,5037,V100,3303_6118_5037_V100,5
4,32,16,16,16,32,2,310.6570129394531,3303,6118,5037,V100,3303_6118_5037_V100,2
5,16,32,32,2,8,1,160.75161743164062,3303,6118,5037,V100,3303_6118_5037_V100,3
6,32,32,16,4,1,3,49.85446548461914,3303,6118,5037,V100,3303_6118_5037_V100,9
7,32,32,16,1,1,1,49.83910369873047,3303,6118,5037,V100,3303_6118_5037_V100,10
8,16,16,32,2,1,3,123.15853118896484,3303,6118,5037,V100,3303_6118_5037_V100,7
9,16,32,32,4,8,0,160.7034912109375,3303,6118,5037,V100,3303_6118_5037_V100,4
10,32,32,16,1,8,0,156.54092407226562,4966,7361,3113,V100,4966_7361_3113_V100,7
11,32,32,32,8,8,2,157.59564208984375,4966,7361,3113,V100,4966_7361_3113_V100,6
12,16,16,32,8,8,0,314.7622375488281,4966,7361,3113,V100,4966_7361_3113_V100,1
13,16,32,16,1,8,0,109.73388671875,4966,7361,3113,V100,4966_7361_3113_V100,8
14,16,32,16,4,8,0,109.04883575439453,4966,7361,3113,V100,4966_7361_3113_V100,9
15,32,32,16,4,16,3,99.67820739746094,4966,7361,3113,V100,4966_7361_3113_V100,10
16,32,32,16,8,32,1,181.5326690673828,4966,7361,3113,V100,4966_7361_3113_V100,4
17,16,16,32,8,2,2,187.38893127441406,4966,7361,3113,V100,4966_7361_3113_V100,3
18,16,32,32,4,16,2,312.2063293457031,4966,7361,3113,V100,4966_7361_3113_V100,2
19,32,16,32,8,4,2,168.9497528076172,4966,7361,3113,V100,4966_7361_3113_V100,5
20,32,32,16,4,16,0,2.703360080718994,2679,1488,1768,V100,2679_1488_1768_V100,5
21,16,32,32,4,1,0,1.7326079607009888,2679,1488,1768,V100,2679_1488_1768_V100,10
22,16,16,32,2,16,1,7.231488227844238,2679,1488,1768,V100,2679_1488_1768_V100,1
23,32,16,32,1,2,0,2.1923840045928955,2679,1488,1768,V100,2679_1488_1768_V100,8
24,32,16,32,4,1,3,2.257920026779175,2679,1488,1768,V100,2679_1488_1768_V100,6
25,16,16,32,16,8,2,3.8553600311279297,2679,1488,1768,V100,2679_1488_1768_V100,3
26,16,32,32,4,4,1,2.249727964401245,2679,1488,1768,V100,2679_1488_1768_V100,7
27,32,32,32,8,32,1,3.724287986755371,2679,1488,1768,V100,2679_1488_1768_V100,4
28,16,32,32,16,4,1,2.1422080993652344,2679,1488,1768,V100,2679_1488_1768_V100,9
29,32,16,16,2,16,0,4.20147180557251,2679,1488,1768,V100,2679_1488_1768_V100,2
30,16,32,16,2,1,1,109.10924530029297,4354,6142,4724,V100,4354_6142_4724_V100,9
31,16,32,16,1,8,1,116.32230377197266,4354,6142,4724,V100,4354_6142_4724_V100,6
32,32,32,16,2,2,0,96.77107238769531,4354,6142,4724,V100,4354_6142_4724_V100,10
33,16,32,16,1,4,0,180.3100128173828,4354,6142,4724,V100,4354_6142_4724_V100,4
34,32,16,16,1,2,1,111.51360321044922,4354,6142,4724,V100,4354_6142_4724_V100,7
35,32,16,16,2,2,1,111.44294738769531,4354,6142,4724,V100,4354_6142_4724_V100,8
36,16,32,32,2,8,0,202.9660186767578,4354,6142,4724,V100,4354_6142_4724_V100,2
37,16,32,32,16,8,3,201.51193237304688,4354,6142,4724,V100,4354_6142_4724_V100,3
38,16,16,16,2,1,3,124.46822357177734,4354,6142,4724,V100,4354_6142_4724_V100,5
39,16,16,16,16,32,3,776.9425659179688,4354,6142,4724,V100,4354_6142_4724_V100,1
40,16,16,16,2,2,3,2.4350719451904297,1262,791,1400,V100,1262_791_1400_V100,4
41,16,32,16,2,16,2,2.283519983291626,1262,791,1400,V100,1262_791_1400_V100,7
42,32,16,32,1,8,1,2.194432020187378,1262,791,1400,V100,1262_791_1400_V100,8
43,32,16,16,4,1,1,0.9451519846916199,1262,791,1400,V100,1262_791_1400_V100,10
44,32,32,32,8,32,2,3.8840320110321045,1262,791,1400,V100,1262_791_1400_V100,3
45,32,32,32,1,8,0,2.341887950897217,1262,791,1400,V100,1262_791_1400_V100,6
46,16,32,32,2,1,3,1.6286720037460327,1262,791,1400,V100,1262_791_1400_V100,9
47,16,16,32,1,16,0,7.546879768371582,1262,791,1400,V100,1262_791_1400_V100,2
48,32,16,32,8,32,2,7.690752029418945,1262,791,1400,V100,1262_791_1400_V100,1
49,16,16,32,8,4,1,2.3951361179351807,1262,791,1400,V100,1262_791_1400_V100,5
50,32,32,32,16,2,1,51.00236892700195,2544,6163,4013,V100,2544_6163_4013_V100,10
51,16,32,32,1,2,1,59.633663177490234,2544,6163,4013,V100,2544_6163_4013_V100,6
52,16,32,32,4,2,2,59.33363342285156,2544,6163,4013,V100,2544_6163_4013_V100,7
53,16,16,16,8,2,3,99.04230499267578,2544,6163,4013,V100,2544_6163_4013_V100,3
54,16,32,32,16,1,2,63.482879638671875,2544,6163,4013,V100,2544_6163_4013_V100,5
55,32,16,16,1,8,2,55.93907165527344,2544,6163,4013,V100,2544_6163_4013_V100,9
56,16,32,16,8,32,2,195.2870330810547,2544,6163,4013,V100,2544_6163_4013_V100,2
57,32,16,16,4,16,1,97.96300506591797,2544,6163,4013,V100,2544_6163_4013_V100,4
58,32,16,16,2,32,0,198.5832977294922,2544,6163,4013,V100,2544_6163_4013_V100,1
59,32,16,16,8,2,2,56.49817657470703,2544,6163,4013,V100,2544_6163_4013_V100,8
60,16,32,32,8,2,3,128.49664306640625,6023,6372,3469,V100,6023_6372_3469_V100,7
61,16,16,32,4,8,2,369.86676025390625,6023,6372,3469,V100,6023_6372_3469_V100,2
62,32,32,16,2,32,1,208.0911407470703,6023,6372,3469,V100,6023_6372_3469_V100,4
63,16,16,32,8,4,0,218.62911987304688,6023,6372,3469,V100,6023_6372_3469_V100,3
64,16,32,32,4,4,0,205.24237060546875,6023,6372,3469,V100,6023_6372_3469_V100,5
65,16,16,16,1,16,1,408.0312194824219,6023,6372,3469,V100,6023_6372_3469_V100,1
66,16,32,16,1,16,2,203.95315551757812,6023,6372,3469,V100,6023_6372_3469_V100,6
67,32,32,32,16,1,0,74.57791900634766,6023,6372,3469,V100,6023_6372_3469_V100,9
68,32,32,32,16,4,2,108.96588897705078,6023,6372,3469,V100,6023_6372_3469_V100,8
69,16,32,32,4,32,0,226.56614685058594,6536,2517,2652,V100,6536_2517_2652_V100,1
70,32,32,16,4,16,0,37.93561553955078,6536,2517,2652,V100,6536_2517_2652_V100,6
71,32,32,32,2,4,1,34.820608139038086,6536,2517,2652,V100,6536_2517_2652_V100,8
72,32,32,16,16,16,2,37.66579246520996,6536,2517,2652,V100,6536_2517_2652_V100,7
73,32,32,16,1,4,1,34.30860710144043,6536,2517,2652,V100,6536_2517_2652_V100,9
74,16,32,16,1,2,1,38.45222473144531,6536,2517,2652,V100,6536_2517_2652_V100,5
75,16,16,32,1,16,2,225.8094024658203,6536,2517,2652,V100,6536_2517_2652_V100,2
76,32,32,16,2,1,1,22.147583961486816,6536,2517,2652,V100,6536_2517_2652_V100,10
77,16,32,32,8,8,3,68.4748764038086,6536,2517,2652,V100,6536_2517_2652_V100,4
78,16,16,32,1,4,1,69.43743896484375,6536,2517,2652,V100,6536_2517_2652_V100,3
79,32,16,16,2,4,2,33.49043273925781,2031,3390,3319,V100,2031_3390_3319_V100,7
80,16,16,16,16,8,1,34.92198371887207,2031,3390,3319,V100,2031_3390_3319_V100,5
81,16,32,16,2,1,3,19.892224311828613,2031,3390,3319,V100,2031_3390_3319_V100,10
82,16,32,16,4,32,1,70.35391998291016,2031,3390,3319,V100,2031_3390_3319_V100,1
