,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,runtime,M,N,K,GPU
0,256,64,128,4,1,1,inf,4,2048,64,V100
1,16,256,256,4,4,2,inf,4,2048,64,V100
2,128,32,128,2,4,3,0.022495999932289124,4,2048,64,V100
3,64,64,64,16,8,3,0.011264000087976456,4,2048,64,V100
4,64,32,16,4,2,1,0.01228800043463707,4,2048,64,V100
5,64,128,32,4,1,1,0.5109920501708984,4,2048,64,V100
6,16,128,16,4,16,0,0.011264000087976456,4,2048,64,V100
7,32,256,64,16,8,2,0.015359999611973763,4,2048,64,V100
8,16,16,64,2,4,0,0.008191999979317188,4,2048,64,V100
9,16,128,64,2,16,0,0.009216000325977802,4,2048,64,V100
10,128,64,128,1,8,0,0.01945599913597107,1,64,2,V100
11,256,64,128,4,2,0,inf,1,64,2,V100
12,256,64,64,1,8,1,0.021503999829292297,1,64,2,V100
13,128,256,16,4,16,1,0.014336000196635723,1,64,2,V100
14,128,16,128,1,1,0,0.18943999707698822,1,64,2,V100
15,32,256,128,8,4,1,inf,1,64,2,V100
16,128,256,256,8,4,3,inf,1,64,2,V100
17,64,64,256,1,1,3,inf,1,64,2,V100
18,128,256,32,4,4,2,0.448527991771698,1,64,2,V100
19,256,64,256,4,1,3,inf,1,64,2,V100
20,16,128,128,2,1,1,2.60097599029541,512,4096,16,V100
21,256,256,32,4,16,0,0.9011200070381165,512,4096,16,V100
22,128,16,128,1,2,0,0.27238398790359497,512,4096,16,V100
23,64,32,16,16,4,1,0.015359999611973763,512,4096,16,V100
24,256,128,64,8,1,0,1.978335976600647,512,4096,16,V100
25,64,256,256,4,8,1,inf,512,4096,16,V100
26,16,32,16,2,16,0,0.05119999870657921,512,4096,16,V100
27,64,128,16,16,4,2,0.016383999958634377,512,4096,16,V100
28,128,128,16,1,1,3,0.5314559936523438,512,4096,16,V100
29,64,32,16,1,16,1,0.02252800017595291,512,4096,16,V100
30,64,32,64,8,8,1,54.70515060424805,8192,8192,4096,V100
31,256,64,16,4,1,1,3102.3779296875,8192,8192,4096,V100
32,16,32,32,8,16,3,138.4652862548828,8192,8192,4096,V100
33,128,16,256,4,1,0,inf,8192,8192,4096,V100
34,64,256,64,8,2,0,4966.86376953125,8192,8192,4096,V100
35,32,128,256,2,8,1,inf,8192,8192,4096,V100
36,128,128,128,1,2,2,inf,8192,8192,4096,V100
37,256,16,256,2,4,0,inf,8192,8192,4096,V100
38,256,32,64,8,2,1,813.1716918945312,8192,8192,4096,V100
39,256,16,128,4,1,0,inf,8192,8192,4096,V100
40,64,256,128,1,8,2,inf,16,8,8,V100
41,256,64,16,2,1,1,0.3922240138053894,16,8,8,V100
42,256,64,256,16,16,2,inf,16,8,8,V100
43,16,64,256,4,16,2,0.03993599861860275,16,8,8,V100
44,16,128,16,4,16,0,0.009216000325977802,16,8,8,V100
45,16,256,16,4,16,0,0.010239999741315842,16,8,8,V100
46,256,16,32,2,1,1,0.16179199516773224,16,8,8,V100
47,64,32,64,4,4,0,0.015359999611973763,16,8,8,V100
48,16,64,128,1,16,2,0.020479999482631683,16,8,8,V100
49,256,128,32,1,1,3,0.8171200156211853,16,8,8,V100
50,64,16,128,8,8,2,0.03788800165057182,4,8192,64,V100
51,32,256,64,2,16,2,0.018432000651955605,4,8192,64,V100
52,64,32,32,8,2,3,0.016383999958634377,4,8192,64,V100
53,32,128,128,16,1,0,0.29900801181793213,4,8192,64,V100
54,32,32,128,1,4,1,0.016383999958634377,4,8192,64,V100
55,256,128,256,16,2,0,inf,4,8192,64,V100
56,32,32,256,4,8,0,0.03686400130391121,4,8192,64,V100
57,16,16,256,1,1,2,0.028672000393271446,4,8192,64,V100
58,32,256,128,4,16,0,inf,4,8192,64,V100
59,128,32,128,16,8,0,0.04198399931192398,4,8192,64,V100
60,64,256,64,2,16,1,0.1228799968957901,256,512,512,V100
61,16,256,32,1,1,2,0.24371199309825897,256,512,512,V100
62,128,128,256,4,1,0,inf,256,512,512,V100
63,16,32,32,1,16,3,0.05632000043988228,256,512,512,V100
64,64,32,256,1,1,3,0.6984000205993652,256,512,512,V100
65,64,64,256,16,8,3,inf,256,512,512,V100
66,16,32,64,4,1,2,0.043007999658584595,256,512,512,V100
67,16,64,256,2,8,1,0.03891199827194214,256,512,512,V100
68,256,16,128,16,4,0,inf,256,512,512,V100
69,128,256,32,8,16,2,0.2385919988155365,256,512,512,V100
70,32,128,256,16,8,2,inf,4096,512,256,V100
71,32,16,256,16,1,0,1.5831040143966675,4096,512,256,V100
72,256,256,32,8,1,1,11.216383934020996,4096,512,256,V100
73,128,32,64,8,8,0,0.12800000607967377,4096,512,256,V100
74,256,256,32,1,1,3,11.80726432800293,4096,512,256,V100
75,64,256,64,8,4,0,1.071071982383728,4096,512,256,V100
76,256,32,256,2,4,1,inf,4096,512,256,V100
77,256,256,16,8,8,1,8.50432014465332,4096,512,256,V100
78,32,64,16,2,2,0,0.1085439994931221,4096,512,256,V100
79,16,256,256,1,1,3,inf,4096,512,256,V100
80,16,256,16,2,1,3,0.02659199945628643,4096,1,32,V100
81,256,128,128,4,8,1,inf,4096,1,32,V100
82,32,128,256,8,4,1,inf,4096,1,32,V100
83,64,128,256,16,4,0,inf,4096,1,32,V100
84,256,16,64,8,1,1,0.3317759931087494,4096,1,32,V100
85,16,32,64,1,8,2,0.021503999829292297,4096,1,32,V100
86,256,256,128,4,8,0,inf,4096,1,32,V100
