,BLOCK_SIZE,num_warps,num_stages,runtime,d,tokens,GPU
0,16,1,2,13.333503723144531,9722,14058,V100
1,128,32,5,6.5382399559021,9722,14058,V100
2,2048,8,0,1.141759991645813,9722,14058,V100
3,1024,4,5,1.2282880544662476,9722,14058,V100
4,256,4,3,1.753600001335144,9722,14058,V100
5,128,32,0,6.518784046173096,9722,14058,V100
6,512,4,0,1.358847975730896,9722,14058,V100
7,16,8,0,13.341695785522461,9722,14058,V100
8,128,1,4,2.4586238861083984,9722,14058,V100
9,2048,8,1,1.1407359838485718,9722,14058,V100
10,16,16,0,4.333568096160889,3281,8510,V100
11,256,4,0,0.3553279936313629,3281,8510,V100
12,2048,2,0,0.24166400730609894,3281,8510,V100
13,8192,8,0,0.2519040107727051,3281,8510,V100
14,128,8,1,0.44441598653793335,3281,8510,V100
15,2048,4,1,0.2396160066127777,3281,8510,V100
16,512,32,1,0.4249599874019623,3281,8510,V100
17,128,32,2,1.3434879779815674,3281,8510,V100
18,1024,2,0,0.2693119943141937,3281,8510,V100
19,8192,8,1,0.2519040107727051,3281,8510,V100
20,2048,2,1,2.5518081188201904,10545,26350,V100
21,512,1,0,3.241472005844116,10545,26350,V100
22,512,32,4,3.99564790725708,10545,26350,V100
23,256,2,0,4.040703773498535,10545,26350,V100
24,32,4,3,13.87007999420166,10545,26350,V100
25,128,32,5,13.403136253356934,10545,26350,V100
26,4096,32,5,2.283519983291626,10545,26350,V100
27,256,2,3,4.0417280197143555,10545,26350,V100
28,4096,16,3,2.3255040645599365,10545,26350,V100
29,8192,32,5,2.5077760219573975,10545,26350,V100
30,4096,8,5,1.3475840091705322,311,89991,V100
31,4096,1,5,5.42412805557251,311,89991,V100
32,256,1,4,0.35225600004196167,311,89991,V100
33,512,16,0,0.2815999984741211,311,89991,V100
34,2048,2,0,0.6502400040626526,311,89991,V100
35,32,2,4,1.4090240001678467,311,89991,V100
36,8192,1,0,85.80608367919922,311,89991,V100
37,128,16,1,0.7946239709854126,311,89991,V100
38,16,2,4,2.8129279613494873,311,89991,V100
39,2048,16,4,0.6256639957427979,311,89991,V100
40,1024,1,5,0.7014399766921997,13668,5778,V100
41,32,16,5,6.345727920532227,13668,5778,V100
42,128,4,0,0.9953280091285706,13668,5778,V100
43,64,1,2,1.9343359470367432,13668,5778,V100
44,4096,8,5,0.6184960007667542,13668,5778,V100
45,64,8,1,1.9415040016174316,13668,5778,V100
46,1024,16,4,0.6814720034599304,13668,5778,V100
47,1024,4,2,0.6666240096092224,13668,5778,V100
48,16,1,1,7.709695816040039,13668,5778,V100
49,16,32,3,25.447423934936523,13668,5778,V100
50,128,1,4,7.878144025802612,5390,80032,V100
