,BLOCK_SIZE,num_warps,num_ctas,num_stages,num_buffers_warp_spec,num_consumer_groups,reg_dec_producer,reg_inc_consumer,maxnreg,runtime,compile_time,tokens,d,GPU
0,8192,8,1,0,0.0,0.0,0.0,0.0,None,0.007833930663764477,2.486799955368042,16,256,V100
1,128,4,1,3,0.0,0.0,0.0,0.0,None,0.002303360030055046,0.10930776596069336,16,256,V100
2,32,32,1,5,0.0,0.0,0.0,0.0,None,0.003211469389498234,0.11092209815979004,16,256,V100
3,64,16,1,4,0.0,0.0,0.0,0.0,None,0.0024716677144169807,0.10721635818481445,16,256,V100
4,16,4,1,0,0.0,0.0,0.0,0.0,None,0.002309112111106515,0.1058800220489502,16,256,V100
5,512,2,1,5,0.0,0.0,0.0,0.0,None,0.002451823092997074,0.12682271003723145,16,256,V100
6,512,2,1,1,0.0,0.0,0.0,0.0,None,0.0024550892412662506,0.13762331008911133,16,256,V100
7,2048,4,1,1,0.0,0.0,0.0,0.0,None,0.003248171880841255,0.16179275512695312,16,256,V100
8,1024,2,1,5,0.0,0.0,0.0,0.0,None,0.0030115442350506783,0.16544246673583984,16,256,V100
9,8192,16,1,5,0.0,0.0,0.0,0.0,None,0.007070475723594427,0.1593787670135498,16,256,V100
10,2048,1,1,1,0.0,0.0,0.0,0.0,None,0.005338649731129408,0.33809351921081543,16,256,V100
11,16,8,1,1,0.0,0.0,0.0,0.0,None,0.0023470441810786724,0.11034536361694336,16,256,V100
12,32,8,1,0,0.0,0.0,0.0,0.0,None,0.0023517338559031487,0.11301326751708984,16,256,V100
13,1024,16,1,4,0.0,0.0,0.0,0.0,None,0.002563885413110256,0.11040735244750977,16,256,V100
14,64,32,1,1,0.0,0.0,0.0,0.0,None,0.0031701470725238323,0.10553789138793945,16,256,V100
15,4096,16,1,3,0.0,0.0,0.0,0.0,None,0.004273685626685619,0.13646578788757324,16,256,V100
16,256,2,1,4,0.0,0.0,0.0,0.0,None,0.002331171417608857,0.12143182754516602,16,256,V100
18,256,4,1,4,0.0,0.0,0.0,0.0,None,0.002317064208909869,0.11352086067199707,16,256,V100
19,512,32,1,5,0.0,0.0,0.0,0.0,None,0.003110554302111268,0.11095356941223145,16,256,V100
20,16,32,1,2,0.0,0.0,0.0,0.0,None,0.0031720460392534733,0.11118936538696289,16,256,V100
22,128,2,1,2,0.0,0.0,0.0,0.0,None,0.002319720573723316,0.11599087715148926,16,256,V100
23,1024,1,1,2,0.0,0.0,0.0,0.0,None,0.0030040352139621973,0.23929214477539062,16,256,V100
24,8192,1,1,2,0.0,0.0,0.0,0.0,None,0.06353019922971725,1.7165253162384033,16,256,V100
25,64,8,1,0,0.0,0.0,0.0,0.0,None,0.0023452905006706715,0.11373114585876465,16,256,V100
26,2048,1,1,2,0.0,0.0,0.0,0.0,None,0.005354183726012707,0.32489633560180664,16,256,V100
0,8192,8,1,0,0.0,0.0,0.0,0.0,None,3.8254592418670654,0.24164962768554688,64,262144,V100
1,128,4,1,3,0.0,0.0,0.0,0.0,None,0.41093942523002625,0.10989761352539062,64,262144,V100
2,32,32,1,5,0.0,0.0,0.0,0.0,None,2.856086492538452,0.10937333106994629,64,262144,V100
3,64,16,1,4,0.0,0.0,0.0,0.0,None,0.6914258599281311,0.11623311042785645,64,262144,V100
4,16,4,1,0,0.0,0.0,0.0,0.0,None,1.6384347677230835,0.10655784606933594,64,262144,V100
5,512,2,1,5,0.0,0.0,0.0,0.0,None,0.4114404320716858,0.12728214263916016,64,262144,V100
6,512,2,1,1,0.0,0.0,0.0,0.0,None,0.4114505350589752,0.14322519302368164,64,262144,V100
